source_soil,pH,N_total_mgkg,K_mgkg,habitability_score
Earth,7.624,3.755,6.231,0.5965
Earth,9.352,4.314,5.661,0.1567
Earth,8.696,6.982,3.466,0.3492
Earth,8.296,3.38,9.502,0.3625
Earth,6.968,7.088,7.673,0.7557
Earth,6.968,1.617,13.12,0.5697
Earth,6.674,6.438,1.45,0.7268
Earth,9.099,6.933,10.014,0.2527
Earth,8.303,2.273,11.681,0.3234
Earth,8.624,4.012,11.633,0.2773
Earth,6.562,2.158,13.405,0.589
Earth,9.41,5.946,11.206,0.2193
Earth,8.997,4.747,13.989,0.181
Earth,7.137,5.447,5.657,0.6963
Earth,7.045,2.375,8.045,0.5912
Earth,7.05,2.482,1.197,0.5881
Earth,7.413,1.29,1.097,0.5463
Earth,8.074,3.254,4.362,0.4268
Earth,7.796,4.918,2.411,0.5759
Earth,7.374,7.006,4.643,0.7498
Earth,8.336,5.668,3.479,0.4234
Earth,6.918,4.048,1.399,0.6431
Earth,7.376,7.672,13.73,0.7822
Earth,7.599,6.035,1.115,0.6793
Earth,7.868,7.511,11.305,0.6515
Earth,8.856,4.693,3.13,0.2155
Earth,7.099,2.812,13.771,0.6122
Earth,8.043,1.37,13.499,0.3805
Earth,8.277,6.083,10.155,0.464
Earth,6.639,1.849,10.411,0.5751
Earth,8.323,3.119,1.075,0.336
Earth,7.012,4.727,14.788,0.6802
Earth,6.695,4.951,13.29,0.6866
Earth,9.347,5.204,13.531,0.1957
Earth,9.397,2.164,10.229,0.086
Earth,8.925,3.658,5.827,0.1588
Earth,7.414,5.32,13.511,0.6997
Earth,6.793,7.789,5.081,0.7777
Earth,8.553,6.093,8.878,0.3712
Earth,7.82,7.458,2.396,0.6566
Earth,6.866,6.335,13.907,0.7356
Earth,7.986,5.142,2.971,0.5211
Earth,6.603,2.344,4.149,0.5862
Earth,9.228,5.667,8.814,0.2072
Earth,7.276,5.364,11.697,0.6994
Earth,8.488,5.217,9.671,0.3631
Earth,7.435,4.429,4.25,0.6592
Earth,8.06,4.701,1.013,0.4788
Earth,8.14,3.341,11.6,0.4152
Earth,7.055,4.635,14.793,0.677
Earth,9.409,2.383,12.339,0.0957
Earth,8.825,6.636,7.443,0.2979
Earth,9.318,2.3,13.653,0.0942
Earth,9.184,1.595,6.738,0.0626
Earth,8.294,4.054,8.349,0.3857
Earth,9.266,5.608,7.68,0.204
Earth,6.765,4.064,7.267,0.6495
Earth,7.088,2.937,11.853,0.6147
Earth,6.636,4.907,8.375,0.6801
Earth,7.476,3.429,5.434,0.6254
Earth,7.666,7.53,4.614,0.7128
Earth,7.314,7.459,1.528,0.7626
Earth,8.986,4.517,9.165,0.1718
Earth,7.57,3.295,4.219,0.5961
Earth,7.343,6.16,3.074,0.7187
Earth,8.128,1.257,10.154,0.3448
Earth,6.923,4.323,10.537,0.6619
Earth,8.907,3.354,11.53,0.1601
Earth,6.724,7.444,8.05,0.7686
Earth,9.461,1.084,13.517,0.0515
Earth,8.817,4.87,14.109,0.2456
Earth,7.096,6.185,12.303,0.7288
Earth,6.517,4.395,9.898,0.6637
Earth,8.946,1.598,5.252,0.079
Earth,8.621,7.807,14.761,0.4145
Earth,8.687,4.626,4.838,0.2711
Earth,8.814,5.299,3.837,0.2514
Earth,6.722,2.656,7.19,0.6002
Earth,7.575,4.384,1.796,0.6301
Earth,6.848,4.004,14.699,0.6548
Earth,9.089,1.524,9.238,0.0626
Earth,8.37,1.743,8.797,0.2798
Earth,7.493,6.862,10.181,0.7504
Earth,6.691,2.679,7.958,0.6017
Earth,7.433,2.365,1.449,0.5842
Earth,7.476,4.534,9.572,0.6683
Earth,8.689,6.381,11.026,0.3381
Earth,8.413,1.434,6.834,0.2528
Earth,9.162,5.038,11.602,0.1879
Earth,7.917,1.834,4.178,0.4295
Earth,6.859,1.255,4.098,0.548
Earth,8.64,1.369,3.26,0.1713
Earth,8.782,6.839,6.208,0.3181
Earth,8.184,1.826,12.858,0.3488
Earth,8.813,1.316,12.591,0.121
Earth,7.981,4.065,6.36,0.4882
Earth,8.068,6.908,9.248,0.5616
Earth,7.783,2.837,11.091,0.5162
Earth,6.576,3.952,4.377,0.6427
Earth,6.824,1.279,3.354,0.5481
Earth,6.594,4.144,14.609,0.6596
Earth,8.409,5.043,9.646,0.3831
Earth,7.443,4.996,14.74,0.6896
Earth,8.026,3.327,5.729,0.4469
Earth,9.223,3.209,10.842,0.1231
Earth,7.248,1.746,4.116,0.5652
Earth,7.731,3.568,4.657,0.5525
Earth,8.767,1.696,8.167,0.1453
Earth,7.186,6.366,5.475,0.7283
Earth,6.731,7.764,3.347,0.7751
Earth,7.369,7.791,4.68,0.7773
Earth,6.984,7.055,1.5,0.7484
Earth,9.289,5.206,10.862,0.1931
Earth,8.924,5.906,7.89,0.2398
Earth,8.4,2.996,2.319,0.3071
Earth,9.114,5.415,3.404,0.1929
Earth,8.911,4.19,2.435,0.1787
Earth,7.06,4.374,9.576,0.6627
Earth,9.178,6.304,2.319,0.223
Earth,8.118,2.973,11.56,0.4096
Earth,8.922,3.226,1.287,0.1401
Earth,9.188,7.472,4.491,0.266
Earth,7.454,1.394,13.469,0.5622
Earth,6.83,4.399,11.059,0.665
Earth,7.184,7.39,2.022,0.7607
Earth,7.781,5.273,12.496,0.6033
Earth,8.954,4.825,7.902,0.1921
Earth,9.082,2.748,12.855,0.109
Earth,6.521,3.403,9.41,0.6285
Earth,8.032,6.964,10.546,0.5769
Earth,7.752,4.915,14.909,0.6028
Earth,7.166,4.603,4.253,0.6654
Earth,6.86,1.697,9.735,0.5691
Earth,7.513,1.112,7.444,0.5421
Earth,9.329,7.746,1.552,0.2727
Earth,7.47,3.639,1.203,0.6286
Earth,8.056,5.222,2.669,0.5
Earth,8.609,1.558,10.087,0.1949
Earth,7.591,5.782,8.94,0.681
Earth,9.415,7.528,8.748,0.2722
Earth,9.387,5.03,1.446,0.1775
Earth,7.255,1.883,7.57,0.5735
Earth,7.992,5.072,13.945,0.5276
Earth,7.403,6.364,6.566,0.7293
Earth,7.355,3.845,9.749,0.6443
Earth,6.611,7.159,11.917,0.7625
Earth,8.329,5.541,11.975,0.4297
Earth,8.008,7.295,8.27,0.5942
Earth,6.654,5.365,13.011,0.7008
Earth,7.336,1.919,6.479,0.5736
Earth,9.225,3.168,13.442,0.1243
Earth,7.219,2.413,4.363,0.5888
Earth,6.935,7.362,4.923,0.7626
Earth,7.968,6.323,1.744,0.5669
Earth,9.457,5.735,12.138,0.2129
Earth,7.226,3.107,6.839,0.6156
Earth,8.516,2.288,4.208,0.2455
Earth,8.785,6.295,4.245,0.2963
Earth,7.213,4.319,13.62,0.6648
Earth,8.685,2.581,12.675,0.2081
Earth,7.603,5.316,8.749,0.6604
Earth,8.397,1.282,9.626,0.2555
Earth,8.401,3.283,7.641,0.3224
Earth,8.107,4.28,6.483,0.4538
Earth,6.771,2.036,13.817,0.5851
Earth,9.006,7.893,2.759,0.279
Earth,7.462,2.464,6.858,0.5931
Earth,7.06,1.912,5.824,0.5728
Earth,6.622,2.425,7.974,0.5928
Earth,8.273,6.383,7.407,0.4733
Earth,8.533,3.979,8.264,0.3033
Earth,6.55,4.958,2.959,0.6765
Earth,8.036,1.147,8.184,0.3696
Earth,7.179,1.241,4.394,0.5478
Earth,8.436,4.121,3.581,0.336
Earth,7.023,6.717,1.908,0.737
Earth,8.573,7.197,11.677,0.406
Earth,7.66,1.607,6.984,0.5098
Earth,9.31,4.769,9.773,0.1767
Earth,6.913,7.393,11.186,0.7699
Earth,7.523,3.716,10.51,0.6328
Earth,6.84,6.807,7.587,0.7458
Earth,9.274,1.936,6.431,0.0742
Earth,9.132,7.548,6.263,0.2704
Earth,7.274,6.26,9.961,0.7291
Earth,8.48,7.589,7.927,0.4469
Earth,8.952,5.736,12.888,0.2298
Earth,8.166,3.544,13.246,0.4154
Earth,8.089,7.567,3.388,0.5719
Earth,7.226,2.929,2.907,0.6054
Earth,6.779,3.325,9.826,0.6262
Earth,9.192,5.906,5.217,0.2119
Earth,9.201,6.357,1.26,0.2238
Earth,8.399,7.506,13.441,0.4764
Earth,7.517,2.434,4.177,0.5837
Earth,7.548,6.586,14.01,0.7286
Earth,8.678,6.17,11.044,0.3344
Earth,9.191,1.447,11.677,0.0623
Earth,9.161,3.711,3.82,0.1337
Earth,8.84,2.979,4.279,0.162
Earth,8.426,3.131,8.298,0.3092
Earth,6.752,7.881,3.409,0.7792
Earth,6.985,5.499,5.276,0.6978
Earth,9.196,6.024,5.5,0.2163
Earth,8.319,7.836,3.235,0.5044
Earth,6.528,3.64,3.873,0.6313
Earth,6.804,6.613,12.04,0.7435
Earth,8.491,4.042,3.341,0.3146
Earth,6.515,7.087,1.398,0.7494
Earth,6.982,2.265,9.811,0.5891
Earth,8.146,7.634,14.664,0.5664
Earth,8.576,2.531,5.637,0.2357
Earth,8.456,3.284,2.661,0.299
Earth,7.173,6.293,8.985,0.7293
Earth,8.637,3.756,13.689,0.2663
Earth,7.212,5.257,11.977,0.696
Earth,7.476,4.112,9.715,0.6536
Earth,8.739,6.197,5.411,0.3091
Earth,8.449,2.598,8.586,0.2832
Earth,9.048,1.409,2.277,0.0516
Earth,8.473,3.1,10.505,0.2947
Earth,8.205,4.32,11.151,0.4274
Earth,6.781,2.176,14.51,0.5907
Earth,7.603,3.484,4.646,0.5922
Earth,7.296,3.8,1.258,0.6343
Earth,7.232,1.402,8.639,0.5577
Earth,9.419,5.083,10.895,0.1888
Earth,7.679,7.19,12.066,0.704
Earth,9.176,2.062,3.712,0.0759
Earth,8.393,5.185,4.665,0.3883
Earth,8.884,5.653,8.176,0.2446
Earth,8.008,3.935,5.628,0.4741
Earth,8.231,5.908,13.047,0.4762
Earth,7.978,3.875,7.633,0.4841
Earth,7.086,4.532,12.194,0.6708
Earth,8.667,1.051,9.129,0.1568
Earth,7.342,5.842,11.823,0.7163
Earth,6.573,5.629,5.657,0.7027
Earth,8.436,1.269,12.64,0.2449
Earth,7.031,3.578,4.844,0.6301
Earth,9.321,7.853,8.645,0.2835
Earth,9.362,3.945,3.996,0.1421
Earth,9.245,4.514,7.657,0.1656
Earth,7.61,7.37,5.454,0.7266
Earth,6.546,6.021,4.734,0.7155
Earth,9.285,5.074,14.538,0.1921
